results_xml,target_key,toplevel,test_module,module_area,testcase,classname,file,lineno,time_s,sim_time_ns,ratio_time,status
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_axi_windowed_filter_wrapper/axi_windowed_filter_wrapper_axi_windowedfilterwrapper/build/results.xml,axi_windowed_filter_wrapper,windowedfilterwrapper,tests.test_axi_windowed_filter_wrapper,Sobel + Filter Wrapper,test_axi_windowed_filter_wrapper_lenna_end_to_end,tests.test_axi_windowed_filter_wrapper,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_axi_windowed_filter_wrapper.py,287,45.88120985031128,2626640.0000000005,57248.70831805627,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_axi_windowed_filter_wrapper/axi_windowed_filter_wrapper_axi_windowedfilterwrapper/build/results.xml,axi_windowed_filter_wrapper,windowedfilterwrapper,tests.test_axi_windowed_filter_wrapper,Sobel + Filter Wrapper,test_axi_windowed_filter_wrapper_simple_image,tests.test_axi_windowed_filter_wrapper,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_axi_windowed_filter_wrapper.py,280,42.59529376029968,2626630.0,61664.79364553912,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_passthrough/example_passthrough_example_passthrough/build/results.xml,example_passthrough,example_passthrough,tests.test_passthrough,Example Passthrough,test_passthrough_image_file_roundtrip,tests.test_passthrough,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_passthrough.py,482,13.584543943405151,2621490.0,192975.92991869609,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_passthrough/example_passthrough_example_passthrough/build/results.xml,example_passthrough,example_passthrough,tests.test_passthrough,Example Passthrough,test_passthrough_stress_matrix,tests.test_passthrough,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_passthrough.py,493,0.10991334915161133,1810.0,16467.517494197524,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_passthrough/example_passthrough_example_passthrough/build/results.xml,example_passthrough,example_passthrough,tests.test_passthrough,Example Passthrough,test_passthrough_with_backpressure_three_cycle_breaks,tests.test_passthrough,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_passthrough.py,469,0.014846324920654297,290.0,19533.453669503775,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_click_detection/test_click_detector_clickdetector/build/results.xml,test_click_detector,clickdetector,tests.test_click_detection,Debounce/Click/Button path,test_click_state_machine,tests.test_click_detection,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_click_detection.py,12,0.0009558200836181641,380.0,397564.36018957343,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_debounced_click_detector/test_debounced_click_detector_debouncedclickdetector/build/results.xml,test_debounced_click_detector,debouncedclickdetector,tests.test_debounced_click_detector,Debounce/Click/Button path,test_debounced_click_detection,tests.test_debounced_click_detector,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_debounced_click_detector.py,16,0.0041255950927734375,2780.0,673842.1821544152,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_debouncing/test_debouncer_debouncer/build/results.xml,test_debouncer,debouncer,tests.test_debouncing,Debounce/Click/Button path,debouncer_test,tests.test_debouncing,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_debouncing.py,14,0.0011076927185058594,960.0,866666.34524322,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_example/test_example_example_passthrough/build/results.xml,test_example,example_passthrough,tests.test_example,Example Passthrough,test_passthrough_image_file_roundtrip,tests.test_example,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_example.py,92,10.349398612976074,2621510.0,253300.70838252874,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_example/test_example_example_passthrough/build/results.xml,test_example,example_passthrough,tests.test_example,Example Passthrough,test_passthrough_single_frame,tests.test_example,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_example.py,87,0.0036246776580810547,700.0,193120.6209300796,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_window_generator/window_generator_window_generator/build/results.xml,window_generator,window_generator,tests.test_window_generator,Window Generator,test_axi_rgb_to_window_multi_frame_without_pressure,tests.test_window_generator,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_window_generator.py,829,0.012300729751586914,2299.9999999999995,186980.7764619231,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_window_generator/window_generator_window_generator/build/results.xml,window_generator,window_generator,tests.test_window_generator,Window Generator,test_axi_rgb_to_window_stress_matrix,tests.test_window_generator,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_window_generator.py,844,0.06822609901428223,4809.999999999999,70500.87971456627,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_window_generator/window_generator_window_generator/build/results.xml,window_generator,window_generator,tests.test_window_generator,Window Generator,test_axi_rgb_to_window_with_pressure,tests.test_window_generator,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_window_generator.py,816,0.009404182434082031,1279.9999999999998,136109.6521650948,pass
/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/sim_build/test_window_generator/window_generator_window_generator/build/results.xml,window_generator,window_generator,tests.test_window_generator,Window Generator,test_axi_rgb_to_window_without_pressure,tests.test_window_generator,/mnt/c/Users/jandu/repos/clean/realtime-image-processing/testbench/tests/test_window_generator.py,803,0.016379356384277344,1160.0,70820.85356622998,pass
